Cell_ID,KMeans_Cluster,DBSCAN_Cluster,UMAP1,UMAP2
129,0,-1,8.337975,8.623712
130,1,-1,10.031376,3.14719
131,3,-1,10.458876,-2.1754756
132,3,-1,8.692792,-3.253151
133,1,-1,8.563191,1.775354
134,3,-1,9.721274,-0.83769566
135,3,-1,10.898103,-1.2577666
136,3,-1,10.869479,-0.6122346
137,3,-1,10.740065,-1.3305506
138,3,-1,11.162462,-1.6075749
139,3,-1,10.97479,-1.614431
140,3,-1,10.153376,-2.780796
141,1,-1,8.693953,0.8034832
142,3,-1,10.222866,-1.6880527
143,3,-1,10.46798,-2.073558
144,3,-1,10.294486,-2.7969172
145,3,-1,9.718802,-0.8813131
146,3,-1,10.920302,-1.1836599
147,3,-1,10.8228245,-0.5198542
148,3,-1,10.691684,-1.6175739
149,1,-1,8.173837,2.1913362
150,1,-1,8.41034,2.3831246
151,1,-1,9.06914,2.6705604
152,3,-1,10.917718,-1.6709075
153,3,-1,11.111283,-1.5887847
154,3,-1,10.824308,-1.6807407
155,1,-1,8.7356205,2.8387802
156,3,-1,10.9538765,-1.6371002
157,1,-1,9.072387,2.7448826
158,3,-1,10.358762,-2.4028904
159,3,-1,8.668927,3.31518
160,1,-1,9.017093,2.74595
161,3,-1,8.792615,-2.7083712
162,3,-1,9.051234,-2.1279685
163,3,-1,8.8845825,-2.8053496
164,3,-1,8.803533,-3.2839155
165,3,-1,8.829628,0.3696227
166,3,-1,8.853844,-3.0772932
167,3,-1,9.656079,-1.0105336
168,3,-1,9.28259,-2.8120575
169,3,-1,9.706636,-0.39897314
170,4,-1,7.859329,4.387583
171,3,-1,9.524391,-2.3826926
172,3,-1,9.082712,-2.7916424
173,3,-1,8.333052,-2.5647511
174,3,-1,9.095356,-2.7989619
175,1,-1,8.161575,1.9853363
176,3,-1,8.514696,-3.2808638
177,3,-1,8.892277,-2.7318802
178,3,-1,8.949049,-3.0236616
179,3,-1,10.968401,-1.6027615
180,3,-1,8.980085,-3.0436187
181,3,-1,9.003242,-2.8504179
182,3,-1,9.281862,-2.8300865
183,3,-1,9.102922,-2.7778497
184,3,-1,9.028606,-2.9343896
185,3,-1,9.366145,-3.0020344
186,3,-1,9.392271,-2.504313
187,3,-1,8.504146,-3.182615
188,3,-1,8.470891,-2.5305898
189,3,-1,8.785495,-2.3590117
190,3,-1,9.358687,-2.0085402
191,3,-1,8.409101,-2.7963407
192,3,-1,4.6850357,6.2487574
193,3,-1,8.272713,-1.551169
194,3,-1,8.655893,-3.424604
195,3,-1,9.013853,-3.371912
196,3,-1,8.759268,-3.3876977
197,3,-1,8.548442,-3.3464336
198,3,-1,9.185467,-2.1760375
199,1,-1,8.270587,2.1998875
200,3,-1,9.28276,-3.089812
201,3,-1,8.547987,-3.2058182
202,3,-1,8.85515,-2.5189779
203,3,-1,8.51999,-2.3889556
204,3,-1,8.44918,-3.30255
205,3,-1,8.677255,-3.468163
206,3,-1,8.82634,-2.7582557
207,3,-1,8.684698,-3.106678
208,3,-1,8.354583,-2.774162
209,3,-1,8.675802,-3.4420326
210,3,-1,9.003967,-2.8685303
211,3,-1,8.370313,-1.3763015
212,3,-1,8.391647,-3.037135
213,3,-1,9.244537,-2.7807145
214,3,-1,8.672257,-2.674132
215,3,-1,8.352546,-2.7635672
216,2,-1,8.719762,-3.5246542
217,3,-1,8.339353,-3.0616107
